Version,Metric,Value,Usecase
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Total Memory,27.296349139861242,HOK01
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Adjusted,174.22974783823398,HOK01
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),CX,17.873336398004856,HOK01
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),GFX,23.042577586751744,HOK01
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Total CPU,55.4643602265159,HOK01
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Total Memory,27.572980829748975,HOK01
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Adjusted,173.31398127270472,HOK01
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),CX,17.81605004967131,HOK01
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),GFX,22.003549694160473,HOK01
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Total CPU,55.221941563964705,HOK01
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Total Memory,27.00613612378747,HOK01
1-FC - M523_AU298+M609_AU328-8(Blue),Adjusted,194.33099033797896,PMWCHT02W
1-FC - M523_AU298+M609_AU328-8(Blue),CX,24.49524655416819,PMWCHT02W
1-FC - M523_AU298+M609_AU328-8(Blue),GFX,3.1903513136469055,PMWCHT02W
1-FC - M523_AU298+M609_AU328-8(Blue),Total CPU,94.20802837573623,PMWCHT02W
1-FC - M523_AU298+M609_AU328-8(Blue),Total Memory,25.25884877192876,PMWCHT02W
2-PreCS1 - M619_r2(Orange),Adjusted,181.20715371211816,PMWCHT02W
2-PreCS1 - M619_r2(Orange),CX,24.041365458985588,PMWCHT02W
2-PreCS1 - M619_r2(Orange),GFX,2.5062862332272537,PMWCHT02W
2-PreCS1 - M619_r2(Orange),Total CPU,84.82686408783326,PMWCHT02W
2-PreCS1 - M619_r2(Orange),Total Memory,25.125716572484567,PMWCHT02W
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Adjusted,169.35896735638062,PMWCHT02W
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,CX,22.92415232841093,PMWCHT02W
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,GFX,2.2095262679688017,PMWCHT02W
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Total CPU,74.72982713082172,PMWCHT02W
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Total Memory,22.883049016883486,PMWCHT02W
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Adjusted,169.35896735638062,PMWCHT02W
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,CX,22.92415232841093,PMWCHT02W
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,GFX,2.2095262679688017,PMWCHT02W
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Total CPU,74.72982713082172,PMWCHT02W
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Total Memory,22.883049016883486,PMWCHT02W
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Adjusted,155.39935965878624,PMWCHT02W
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),CX,19.283577381859875,PMWCHT02W
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),GFX,2.7613956958137655,PMWCHT02W
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Total CPU,73.86792267283506,PMWCHT02W
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Total Memory,19.685901743866438,PMWCHT02W
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Adjusted,156.63,PMWCHT02W
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),CX,20.79,PMWCHT02W
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),GFX,2.75,PMWCHT02W
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Total CPU,75.29,PMWCHT02W
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Total Memory,20.65,PMWCHT02W
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Adjusted,152.36644,PMWCHT02W
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),CX,19.09055,PMWCHT02W
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),GFX,2.597,PMWCHT02W
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Total CPU,74.85000837,PMWCHT02W
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Total Memory,19.8391298,PMWCHT02W
1-FC - M523_AU298+M609_AU328-8(Blue),Adjusted,437.5833082869657,QQS01-5G
1-FC - M523_AU298+M609_AU328-8(Blue),CX,34.155524682245094,QQS01-5G
1-FC - M523_AU298+M609_AU328-8(Blue),GFX,11.90612524354047,QQS01-5G
1-FC - M523_AU298+M609_AU328-8(Blue),Total CPU,210.81484817627515,QQS01-5G
1-FC - M523_AU298+M609_AU328-8(Blue),Total Memory,46.96277886282655,QQS01-5G
2-PreCS1 - M619_r2(Orange),Adjusted,379.72962407343647,QQS01-5G
2-PreCS1 - M619_r2(Orange),CX,34.173822350367196,QQS01-5G
2-PreCS1 - M619_r2(Orange),GFX,16.937053462033457,QQS01-5G
